id;name;type;subtype;size;price;promoprice;nparcel;parcel;number;sale;image;image2;image3;enable
1;Blastomussa welsi red green;coral;lps;G;499;499;6;83,17;1;true;blastomussa_welsi_red_green.webp;;;true
2;Hammer green 3 bocas;coral;lps;M;360;360;6;60;1;true;Hammer_Green_M_3_Bocas_1.webp;;;true
3;Hammer green 3 bocas;coral;lps;M;390;390;6;65;1;true;Hammer_Green_M_3_Bocas_2.webp;;;true
4;Hammer green 4 bocas;coral;lps;M;480;480;6;80;1;true;Hammer_Green_M_4_Bocas.webp;;;true
6;Hammer yellow green 1 boca;coral;lps;P;120;120;6;20;1;false;Hammer_Purple_P_1_Boca.webp;;;true
5;Hammer purple 1 boca;coral;lps;P;130;130;6;21,67;1;false;Hammer_Yellow_Green_P_1_Boca.webp;;;true
P003;Plate wagon wheel;coral;lps;G;269;269;6;44,83;1;false;IMG_20241025_174039371.webp;;;true
P002;Plate orange;coral;lps;M;359;359;6;59,83;1;false;IMG_20241025_174057382.webp;;;true
P001;Plate orange;coral;lps;P;299;299;6;49,83;1;false;IMG_20241025_174116511.webp;;;true
F008;Favia purple green;coral;lps;P;60;60;6;10;1;false;IMG_20241025_180323192.webp;;;true
F006;Favia purple green;coral;lps;P;60;60;6;10;1;false;IMG_20241025_180328222.webp;;;true
F009;Favia purple green;coral;lps;P;60;60;6;10;1;false;IMG_20241025_180333950.webp;;;true
F007;Favia purple green;coral;lps;P;60;60;6;10;1;false;IMG_20241025_180338555.webp;;;true
F001;Favia christmas;coral;lps;P;60;60;6;10;1;false;IMG_20241025_181831459.webp;;;true
F004;Favia christmas;coral;lps;P;60;60;6;10;1;false;IMG_20241025_181837943.webp;;;true
F002;Favia christmas;coral;lps;P;60;60;6;10;1;false;IMG_20241025_181842233.webp;;;true
F003;Favia christmas;coral;lps;P;60;60;6;10;1;false;IMG_20241025_181845359.webp;;;true
F012;Favia gold;coral;lps;P;60;60;6;10;1;false;IMG_20241025_184048572.webp;;;true
F010;Favia gold;coral;lps;P;60;60;6;10;1;false;IMG_20241025_184054443.webp;;;true
F011;Favia gold;coral;lps;P;60;60;6;10;1;false;IMG_20241025_184058438.webp;;;true
F013;Favia gold;coral;lps;P;60;60;6;10;1;false;IMG_20241025_184101998.webp;;;true
A015;Acropora red dragon yellow tip;coral;sps;P;190;190;6;31,66666667;1;false;IMG_20241029_172155601.webp;;;true
A016;Acropora red dragon yellow tip;coral;sps;P;190;190;6;31,66666667;1;false;IMG_20241029_172203931.webp;;;true
A006;Acropora red dragon yellow tip;coral;sps;P;190;190;6;31,66666667;1;false;IMG_20241029_172345364.webp;;;true
A012;Acropora red dragon yellow tip;coral;sps;P;190;190;6;31,66666667;1;false;IMG_20241029_172357801.webp;;;true
A018;Acropora valida;coral;sps;P;150;150;6;25;1;false;IMG_20241029_172709144.webp;;;true
A001;Acropora red dragon yellow tip;coral;sps;P;190;190;6;31,66666667;1;false;IMG_20241029_172718156.webp;;;true
A003;Acropora tenuis green pink tip;coral;sps;M;190;190;6;31,66666667;1;false;IMG_20241029_172854877.webp;;;true
A032;Acropora tenuis bohemia;coral;sps;P;150;150;6;25;1;false;IMG_20241029_172901005.webp;;;true
A002;Acropora red dragon;coral;sps;P;190;190;6;31,66666667;1;false;IMG_20241029_173254326.webp;;;true
A019;Acropora pink panther;coral;sps;P;120;120;6;20;1;false;IMG_20241029_173308354.webp;;;true
A007;Acropora sp;coral;sps;P;150;150;6;25;1;false;IMG_20241029_173501632.webp;;;true
A024;Acropora pearlberry;coral;sps;P;150;150;6;25;1;false;IMG_20241029_173512412.webp;;;true
A017;Acropora poseidon;coral;sps;P;190;190;6;31,66666667;1;false;IMG_20241029_173713028.webp;;;true
A026;Acropora poseidon;coral;sps;P;190;190;6;31,66666667;1;false;IMG_20241029_173719276.webp;;;true
A020;Acropora poseidon;coral;sps;P;190;190;6;31,66666667;1;false;IMG_20241029_173945005.webp;;;true
A022;Acropora tenuis gold;coral;sps;P;150;150;6;25;1;false;IMG_20241029_173952964.webp;;;true
A008;Acropota tenuis gold;coral;sps;P;150;150;6;25;1;false;IMG_20241029_174000139.webp;;;true
A009;Acropota tenuis gold;coral;sps;P;150;150;6;25;1;false;IMG_20241029_174310190.webp;;;true
A010;Acropota tenuis gold;coral;sps;P;150;150;6;25;1;false;IMG_20241029_174315469.webp;;;true
A005;Acropota tenuis gold;coral;sps;P;150;150;6;25;1;false;IMG_20241029_174320424.webp;;;true
A004;Acropota tenuis gold;coral;sps;P;150;150;6;25;1;false;IMG_20241029_174534955.webp;;;true
A011;;coral;sps;P;150;150;6;25;1;false;IMG_20241029_174542609.webp;;;false
A025;Acropora sp;coral;sps;P;150;150;6;25;1;false;IMG_20241029_174604799.webp;;;true
A037;Acropora loripes;coral;sps;M;190;190;6;31,66666667;1;false;IMG_20241029_180321764.webp;;;true
A035;Acropora loripes;coral;sps;M;190;190;6;31,66666667;1;false;IMG_20241029_180327925.webp;;;true
A036;Acropora loripes;coral;sps;P;150;150;6;25;1;false;IMG_20241029_180446424.webp;;;true
A013;Acropora loripes;coral;sps;M;190;190;6;31,66666667;1;false;IMG_20241029_180457486.webp;;;true
A031;Acropora loripes;coral;sps;P;150;150;6;25;1;false;IMG_20241029_180614221.webp;;;true
A030;Acropora tenuis green pink tip;coral;sps;P;150;150;6;25;1;false;IMG_20241029_180621422.webp;;;true
A021;Acropora sp;coral;sps;P;150;150;6;25;1;false;IMG_20241029_180825761.webp;;;true
A029;Acropora red dragon;coral;sps;P;190;190;6;31,66666667;1;false;IMG_20241029_180834265.webp;;;true
A028;Acropora red dragon;coral;sps;P;190;190;6;31,66666667;1;false;IMG_20241029_181000090.webp;;;true
A027;Acropora red dragon;coral;sps;P;190;190;6;31,66666667;1;false;IMG_20241029_181005081.webp;;;true
A023;Acropora pink panther;coral;sps;M;190;190;6;31,66666667;1;false;IMG_20241029_181141051.webp;;;true
A039;Acropora tenuis gold;coral;sps;M;190;190;6;31,66666667;1;false;IMG_20241029_181149768.webp;;;true
A038;Acropora tenuis gold;coral;sps;M;190;190;6;31,66666667;1;false;IMG_20241029_181407600.webp;;;true
A034;Acropora tenuis gold;coral;sps;M;190;190;6;31,66666667;1;false;IMG_20241029_181413786.webp;;;true
A033;Acropora sp;coral;sps;M;150;150;6;25;1;false;IMG_20241029_181745447.webp;;;true
A047;Acropora red planet;coral;sps;P;120;120;6;20;1;false;IMG_20241029_191020252.webp;;;true
A048;;coral;sps;P;120;120;6;20;1;false;IMG_20241029_191224520.webp;;;false
A046;Acropora poseidon;coral;sps;P;190;190;6;31,66666667;1;false;IMG_20241029_191231447.webp;;;true
A043;Acropora poseidon;coral;sps;P;190;190;6;31,66666667;1;false;IMG_20241029_191240247.webp;;;true
A045;Acropora poseidon;coral;sps;P;190;190;6;31,66666667;1;false;IMG_20241029_191455656.webp;;;true
A063;Acropora echinata;coral;sps;M;150;150;6;25;1;false;IMG_20241029_191502747.webp;;;true
A067;Acropora echinata;coral;sps;M;150;150;6;25;1;false;IMG_20241029_191509378.webp;;;true
A066;Acropora echinata;coral;sps;M;150;150;6;25;1;false;IMG_20241029_191702762.webp;;;true
A064;Acropora echinata;coral;sps;M;150;150;6;25;1;false;IMG_20241029_191709616.webp;;;true
A065;Acropora echinata;coral;sps;M;150;150;6;25;1;false;IMG_20241029_191826035.webp;;;true
A070;Acropora squarosa;coral;sps;P;120;120;6;20;1;false;IMG_20241029_192120812.webp;;;true
A069;Acropora squarosa;coral;sps;P;120;120;6;20;1;false;IMG_20241029_192133030.webp;;;true
A074;Acropora squarosa;coral;sps;P;120;120;6;20;1;false;IMG_20241029_192357231.webp;;;true
A082;Acropora squarosa;coral;sps;P;120;120;6;20;1;false;IMG_20241029_192403148.webp;;;true
A083;Acropora squarosa;coral;sps;P;120;120;6;20;1;false;IMG_20241029_192553013.webp;;;true
A091;Acropora echinata;coral;sps;P;100;100;6;16,66666667;1;false;IMG_20241029_192600140.webp;;;true
A092;Acropora echinata;coral;sps;P;100;100;6;16,66666667;1;false;IMG_20241029_192613273.webp;;;true
A085;Acropora squarosa;coral;sps;P;120;120;6;20;1;false;IMG_20241029_192859565.webp;;;true
A090;Acropora squarosa;coral;sps;P;120;120;6;20;1;false;IMG_20241029_192915914.webp;;;true
A073;Acropora pearlberry;coral;sps;P;150;150;6;25;1;false;IMG_20241029_193105726.webp;;;true
A079;Acropora pearlberry;coral;sps;P;150;150;6;25;1;false;IMG_20241029_193111602.webp;;;true
A096;Acropora pearlberry;coral;sps;P;150;150;6;25;1;false;IMG_20241029_193120079.webp;;;true
A077;Acropora austera banana;coral;sps;P;100;100;6;16,66666667;1;false;IMG_20241029_193359862.webp;;;true
A078;Acropora austera banana;coral;sps;P;100;100;6;16,66666667;1;false;IMG_20241029_193409271.webp;;;true
A080;Acropora pearlberry;coral;sps;P;150;150;6;25;1;false;IMG_20241029_193633216.webp;;;true
A072;Acropora sp;coral;sps;P;120;120;6;20;1;false;IMG_20241029_193639487.webp;;;true
A081;Acropora pearlberry;coral;sps;P;150;150;6;25;1;false;IMG_20241029_193659391.webp;;;true
A100;Acropora tortuosa;coral;sps;P;70;70;6;11,66666667;1;false;IMG_20241029_194230791.webp;;;true
A099;Acropora sp;coral;sps;P;120;120;6;20;1;false;IMG_20241029_194249166.webp;;;true
A071;Acropora sp;coral;sps;P;120;120;6;20;1;false;IMG_20241029_194259708.webp;;;true
A098;Acropora sp;coral;sps;P;100;100;6;16,66666667;1;false;IMG_20241029_194714604.webp;;;true
A093;Acropora echinata;coral;sps;P;100;100;6;16,66666667;1;false;IMG_20241029_194720456.webp;;;true
A086;Acropora echinata;coral;sps;P;100;100;6;16,66666667;1;false;IMG_20241029_194858725.webp;;;true
A095;Acropora echinata;coral;sps;P;100;100;6;16,66666667;1;false;IMG_20241029_194903137.webp;;;true
A087;Acropora echinata;coral;sps;P;100;100;6;16,66666667;1;false;IMG_20241029_194914741.webp;;;true
A094;Acropora echinata;coral;sps;P;100;100;6;16,66666667;1;false;IMG_20241029_195138022.webp;;;true
A097;Acropora echinata;coral;sps;P;100;100;6;16,66666667;1;false;IMG_20241029_195143020.webp;;;true
A089;Acropora echinata;coral;sps;P;100;100;6;16,66666667;1;false;IMG_20241029_195147996.webp;;;true
MM01;Micromussa red;coral;lps;P;150;150;6;25;1;false;Micromussa_Red_P_MM01.webp;;;true
MM02;Micromussa red;coral;lps;P;150;150;6;25;1;false;Micromussa_Red_P_MM02.webp;;;true
MM03;Micromussa red;coral;lps;P;150;150;6;25;1;false;Micromussa_Red_P_MM03.webp;;;true
MM04;Micromussa red;coral;lps;P;150;150;6;25;1;false;Micromussa_Red_P_MM04.webp;;;true
MM05;Micromussa red;coral;lps;P;150;150;6;25;1;false;Micromussa_Red_P_MM05.webp;;;true
MM06;Micromussa red;coral;lps;P;150;150;6;25;1;false;Micromussa_Red_P_MM06.webp;;;true
MM07;Micromussa red;coral;lps;P;150;150;6;25;1;false;Micromussa_Red_P_MM07.webp;;;true
17;Torch kriptonita blue tips 2 bocas;coral;lps;M;600;600;6;100;1;false;Torch_Kriptonita_Blue_Tips_2_bocas_M.webp;;;true
18;Torch ultra ny knicks 2 bocas;coral;lps;M;700;700;6;116,67;1;false;Torch_Ultra_NY_Knicks_M_2_bocas.webp;;;true
19;Trumpet green 12 bocas;coral;lps;G;180;180;6;30;1;false;Trumpet_Green_G_12_bocas.webp;;;true
20;Trumpet green 6 bocas;coral;lps;M;90;90;6;15;1;false;Trumpet_Green_M_6_bocas.webp;;;true
21;Trumpet kriptonita 10 bocas;coral;lps;G;200;200;6;33,33;1;false;Trumpet_Kriptonita_G_10_bocas.webp;;;true
22;Trumpet kriptonita 4 bocas;coral;lps;P;80;80;6;13,33;1;false;Trumpet_Kriptonita_P_4_bocas.webp;;;true
A040;Acropora austera banana;coral;sps;P;100;100;6;16,66666667;1;false;;;;false
A056;Acropora austera banana;coral;sps;P;100;100;6;16,66666667;1;false;;;;false
A075;Acropora austera banana;coral;sps;P;100;100;6;16,66666667;1;false;;;;false
A076;Acropora austera banana;coral;sps;P;100;100;6;16,66666667;1;false;;;;false
A044;Acropora pearlberry;coral;sps;P;150;150;6;25;1;false;;;;false
A061;Acropora pearlberry;coral;sps;P;150;150;6;25;1;false;;;;false
A062;Acropora pearlberry;coral;sps;P;150;150;6;25;1;false;;;;false
A051;Acropora red planet;coral;sps;P;120;120;6;20;1;false;;;;false
A052;Acropora red planet;coral;sps;P;120;120;6;20;1;false;;;;false
A053;Acropora red planet;coral;sps;P;120;120;6;20;1;false;;;;false
A041;Acropora sp;coral;sps;P;150;150;6;25;1;false;;;;false
A088;Acropora squarosa;coral;sps;P;120;120;6;20;1;false;;;;false
A054;Acropora tenuis blue;coral;sps;P;150;150;6;25;1;false;;;;false
A055;Acropora tenuis blue;coral;sps;P;150;150;6;25;1;false;;;;false
A057;Acropora tenuis blue;coral;sps;M;150;150;6;25;1;false;;;;false
A058;Acropora tenuis blue;coral;sps;M;150;150;6;25;1;false;;;;false
A059;Acropora tenuis blue;coral;sps;P;150;150;6;25;1;false;;;;false
A060;Acropora tenuis blue;coral;sps;P;150;150;6;25;1;false;;;;false
A042;Acropora tenuis green pink tip;coral;sps;P;150;150;6;25;1;false;;;;false
A049;Acropora tenuis green pink tip;coral;sps;P;150;150;6;25;1;false;;;;false
A050;Acropora tenuis green pink tip;coral;sps;P;150;150;6;25;1;false;;;;false
BL001;Blastomussa merleti;coral;lps;M;80;80;6;13,33333333;1;false;;;;false
BL002;Blastomussa welsi;coral;lps;P;80;80;6;13,33333333;1;false;;;;false
F005;Favia christmas;coral;lps;P;60;60;6;10;1;false;;;;false
F014;Favia sp;coral;lps;P;60;60;6;10;3;false;;;;false
FT03;Favites war purple green;coral;lps;P;50;50;6;8,333333333;5;false;;;;false
FT04;Favites war purple green;coral;lps;M;70;70;6;11,66666667;1;false;;;;false
FT01;Favites war red;coral;lps;P;50;50;6;8,333333333;1;false;;;;false
FT02;Favites war red;coral;lps;M;70;70;6;11,66666667;1;false;;;;false
FT05;Favites wwc;coral;lps;P;60;60;6;10;4;false;;;;false
GSP01;Green star polips;coral;lps;P;40;40;6;6,666666667;10;false;;;;false
GSP02;Green star polips;coral;lps;M;60;60;6;10;5;false;;;;false
LET04;Leather devils heand;coral;soft;P;40;40;6;6,666666667;3;false;;;;false
LET05;Leather letucce;coral;soft;P;40;40;6;6,666666667;1;false;;;;false
LET06;Leather letucce green;coral;soft;P;40;40;6;6,666666667;1;false;;;;false
LET01;Leather umbrella;coral;soft;P;45;45;6;7,5;6;false;;;;false
LET02;Leather umbrella long polips;coral;soft;P;45;45;6;7,5;3;false;;;;false
LET03;Leather umbrella ora farm;coral;soft;P;70;70;6;11,66666667;4;false;;;;false
FT06;Maze green;coral;lps;P;60;60;6;10;2;false;;;;false
PAL08;Palitoa capitao america;coral;soft;P;40;40;6;6,666666667;5;false;;;;false
PAL10;Palitoa green buttons;coral;soft;P;40;40;6;6,666666667;2;false;;;;false
PAL01;Palitoa laft taffy;coral;soft;P;70;70;6;11,66666667;9;false;;;;false
PAL06;Palitoa mindblooging;coral;soft;P;60;60;6;10;5;false;;;;false
PAL02;Palitoa nirvana;coral;soft;P;60;60;6;10;9;false;;;;false
PAL03;Palitoa people eater;coral;soft;P;60;60;6;10;6;false;;;;false
PAL07;Palitoa pink hippo;coral;soft;P;40;40;6;6,666666667;3;false;;;;false
PAL09;Palitoa pink hippo;coral;soft;P;40;40;6;6,666666667;2;false;;;;false
PAL05;Palitoa sonic flarer;coral;soft;P;60;60;6;10;8;false;;;;false
PAL04;Palitoa vampire;coral;soft;P;60;60;6;10;6;false;;;;false
ZOA001;Zoanthus blue tubes;coral;soft;P;40;40;6;6,666666667;4;false;;;;false
ZOA002;Zoanthus green baypacker;coral;soft;P;40;40;6;6,666666667;4;false;;;;false
ZOA003;Zoanthus jawbreaker hornet;coral;soft;P;60;60;6;10;5;false;;;;false
ZOA008;Zoanthus lighting;coral;soft;P;45;45;6;7,5;7;false;;;;false
ZOA005;Zoanthus radioative green;coral;soft;P;40;40;6;6,666666667;7;false;;;;false
ZOA006;Zoanthus rasta;coral;soft;P;60;60;6;10;9;false;;;;false
ZOA009;Zoanthus stargazer;coral;soft;P;60;60;6;10;1;false;;;;false
ZOA007;Zoanthus tequila sunrise;coral;soft;P;45;45;6;7,5;3;false;;;;false
ZOA004;Zoanthus watermelon;coral;soft;P;40;40;6;6,666666667;5;false;;;;false
